danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,mood
0.71,0.89,11,-5.088,1,0.0403,0.174,0,0.185,0.804,108.0,212173,4,1
0.716,0.866,5,-4.177,1,0.0438,0.249,0,0.0706,0.867,93.007,170932,4,1
0.479,0.642,11,-5.727,1,0.0302,0.0269,0,0.105,0.372,157.981,220455,4,1
0.61,0.857,8,-5.267,0,0.0877,0.0424,2e-06,0.128,0.373,125.838,191600,4,1
0.679,0.842,5,-4.364,1,0.0376,0.275,0,0.135,0.72,119.013,227840,4,1
0.668,0.848,4,-3.196,0,0.0308,0.0872,0.00102,0.236,0.5,116.957,180147,4,1
0.624,0.909,0,-3.849,0,0.0502,0.0912,0,0.0916,0.567,105.947,216373,4,1
0.571,0.43,8,-7.439,1,0.0319,0.812,7.99e-05,0.164,0.285,77.961,202627,4,1
0.66,0.754,4,-2.84,0,0.051,0.0626,0,0.1,0.899,110.02,190187,4,1
0.619,0.673,6,-6.268,1,0.0364,0.156,0,0.116,0.599,160.012,169093,4,1
0.254,0.764,6,-5.692,1,0.0528,0.0259,6.17e-06,0.104,0.454,81.289,215800,4,1
0.705,0.606,7,-7.047,1,0.0243,0.159,0.00149,0.242,0.876,98.001,234640,4,1
0.488,0.812,8,-5.536,1,0.0354,0.459,0,0.0902,0.815,168.057,228933,4,1
0.513,0.746,9,-5.622,1,0.0384,0.121,0,0.101,0.773,177.978,234360,4,1
0.555,0.869,10,-5.177,1,0.0464,0.124,0,0.0936,0.629,101.992,164000,3,1
0.474,0.939,10,-3.132,1,0.0347,0.0237,0,0.0538,0.896,147.967,208987,4,1
0.558,0.83,0,-4.756,1,0.0291,0.0262,0,0.0994,0.698,144.015,206640,4,1
0.508,0.88,7,-4.788,1,0.0386,0.19,1.41e-06,0.107,0.688,154.104,261133,4,1
0.596,0.921,7,-4.987,1,0.0504,0.0221,0,0.303,0.703,104.024,210560,4,1
0.675,0.831,11,-3.547,1,0.0274,0.195,0,0.13,0.906,97.971,171413,4,1
0.626,0.913,0,-4.452,1,0.0318,0.00635,0,0.293,0.946,113.044,191307,4,1
0.625,0.826,4,-5.037,1,0.0325,0.121,0,0.158,0.699,99.919,218867,4,1
0.77,0.641,10,-6.077,0,0.035,0.0206,0.00023,0.106,0.639,96.98,191333,4,1
0.333,0.524,10,-6.788,1,0.0301,0.194,0,0.124,0.438,73.393,170387,4,1
0.611,0.787,9,-5.957,1,0.073,0.308,1.24e-05,0.0835,0.428,120.099,256613,4,1
0.666,0.78,2,-5.847,1,0.048,0.0189,1.01e-06,0.0635,0.923,154.056,221402,4,1
0.48,0.887,7,-4.452,1,0.0481,0.138,0,0.127,0.482,169.937,222333,4,1
0.79,0.928,7,-3.24,1,0.0573,0.218,0,0.316,0.755,114.95,171823,4,1
0.633,0.851,2,-6.372,1,0.0362,0.0212,0,0.172,0.783,101.996,257093,4,1
0.477,0.952,4,-3.715,1,0.0402,0.103,2.38e-06,0.441,0.867,170.099,184707,4,1
0.462,0.977,0,-3.805,1,0.045,0.00172,0,0.352,0.746,154.038,218867,4,1
0.78,0.583,7,-7.36,1,0.0901,0.0526,4.08e-06,0.0367,0.881,85.014,186547,4,1
0.551,0.779,9,-5.833,1,0.0586,0.0288,0.000348,0.0862,0.715,171.982,190533,4,1
0.754,0.416,11,-13.169,1,0.0275,0.0772,1.54e-06,0.314,0.92,99.753,216480,4,1
0.602,0.771,7,-5.734,1,0.133,0.424,0,0.381,0.9,172.177,183947,4,1
0.622,0.781,7,-5.215,1,0.0277,0.000796,0,0.352,0.605,120.988,227840,4,1
0.628,0.698,6,-5.939,1,0.0381,0.0205,0,0.114,0.862,80.004,197280,4,1
0.628,0.832,6,-4.655,1,0.0252,0.00222,5.88e-06,0.12,0.377,103.983,242360,4,1
0.6,0.809,0,-6.811,1,0.124,0.117,0,0.13,0.689,180.06,190333,4,1
0.422,0.9,8,-3.801,1,0.0599,0.144,0,0.404,0.746,169.919,256293,4,1
0.411,0.903,2,-2.948,1,0.144,0.0544,0,0.104,0.614,180.078,217160,4,1
0.583,0.859,2,-4.495,1,0.0402,0.0579,0,0.11,0.607,142.071,192987,4,1
0.485,0.894,6,-4.176,1,0.0383,0.000492,0,0.0875,0.673,75.028,178190,4,1
0.323,0.91,8,-4.639,1,0.0699,0.00361,1.82e-05,0.173,0.531,109.27,262653,3,1
0.534,0.843,1,-7.144,1,0.0328,0.000968,2.1e-05,0.0861,0.748,134.4,202236,4,1
