@relation data

@attribute danceability numeric
@attribute energy numeric
@attribute key numeric
@attribute loudness numeric
@attribute mode numeric
@attribute speechiness numeric
@attribute acousticness numeric
@attribute instrumentalness numeric
@attribute liveness numeric
@attribute valence numeric
@attribute tempo numeric
@attribute duration_ms numeric
@attribute time_signature numeric
@attribute featured numeric

@data
0.476,0.746,5,-9.357,1,0.0588,0.00021,0.0219,0.396,0.432,137.987,189960,4,1
0.639,0.552,5,-7.589,1,0.0274,0.194,0.000011,0.0937,0.644,106.67,209800,4,1
0.701,0.473,7,-8.476,1,0.0423,0.76,0.000244,0.237,0.357,100.048,159940,4,1
0.409,0.612,7,-6.586,1,0.0329,0.000898,0.0005,0.3,0.361,124.16,262156,4,1
0.638,0.49,2,-9.879,1,0.16,0.509,0.000011,0.105,0.151,79.949,225216,4,1
0.631,0.539,0,-7.72,0,0.235,0.172,0,0.15,0.539,160.046,195031,4,1
0.393,0.0355,9,-17.718,1,0.0397,0.958,0.00344,0.114,0.206,82.9,200021,4,1
0.741,0.752,2,-4.968,1,0.0386,0.00834,0.00165,0.0438,0.609,114.02,211920,4,1
0.628,0.394,0,-7.441,1,0.0296,0.413,0,0.113,0.309,122.082,285587,4,1
0.396,0.771,6,-5.595,1,0.0362,0.000046,0.66,0.258,0.111,116.036,342533,4,1
0.609,0.807,5,-7.221,1,0.0972,0.00403,0.000005,0.0926,0.492,119.073,238493,4,1
0.582,0.749,11,-5.691,0,0.0384,0.00656,0,0.21,0.507,81.01,178253,4,1
0.657,0.613,1,-7.308,1,0.465,0.123,0,0.314,0.485,174.027,165517,4,1
0.515,0.463,2,-7.456,1,0.101,0.133,0,0.0954,0.41,163.458,184040,4,1
0.676,0.788,0,-5.757,1,0.0994,0.0462,0,0.173,0.384,113.837,195053,4,1
0.802,0.72,2,-8.514,1,0.113,0.151,0.00236,0.159,0.591,106.571,175465,4,1
0.551,0.44,10,-8.559,1,0.0985,0.606,0.00003,0.11,0.341,167.923,210667,4,1
0.649,0.587,5,-10.5,0,0.316,0.0774,0,0.377,0.513,92.871,282987,4,1
0.292,0.81,4,-6.365,1,0.213,0.000615,0.000598,0.3,0.349,96.152,266240,3,1
0.795,0.64,11,-7.21,0,0.111,0.000491,0.000001,0.295,0.324,130.021,147707,4,1
0.742,0.836,6,-3.501,1,0.0356,0.224,0,0.111,0.673,110.031,194182,4,1
0.55,0.415,9,-6.557,0,0.052,0.161,0,0.108,0.274,172.065,205463,4,1
0.774,0.458,10,-6.45,1,0.042,0.0278,0,0.133,0.183,118.024,216961,4,1
0.629,0.668,11,-6.843,0,0.261,0.535,0,0.0946,0.436,99.884,211480,4,1
0.711,0.395,10,-7.327,1,0.0311,0.89,0,0.0845,0.519,122.043,211715,4,1
0.547,0.712,3,-7.879,0,0.266,0.0824,0,0.378,0.845,99.025,254545,4,1
0.583,0.802,0,-6.242,0,0.0399,0.206,0.000004,0.328,0.448,101.975,190093,4,1
0.722,0.538,4,-6.274,0,0.0789,0.717,0.000087,0.409,0.498,144.941,187363,4,1
0.552,0.83,7,-7.634,0,0.0748,0.568,0.000082,0.125,0.661,113.889,206093,4,1
0.659,0.675,10,-7.091,0,0.0807,0.0462,0.0187,0.104,0.468,161.973,210709,4,1
0.87,0.84,9,-1.567,0,0.05,0.0334,0.000064,0.0739,0.779,98.013,160107,4,1
0.65,0.863,0,-6.021,0,0.0362,0.0487,0,0.0952,0.434,100.967,175000,4,1
0.478,0.874,9,-3.041,1,0.0396,0.00319,0,0.147,0.506,150.052,214907,4,1
0.581,0.753,7,-4.874,1,0.0286,0.00103,0.000018,0.219,0.659,122.046,189775,4,1
0.717,0.24,5,-10.428,1,0.576,0.498,0,0.178,0.374,129.998,182613,4,1
0.652,0.898,7,-4.481,0,0.0361,0.29,0,0.073,0.472,114.043,193377,4,1
0.396,0.198,2,-9.096,1,0.031,0.912,0,0.0972,0.19,138.624,235587,3,1
0.557,0.8,2,-5.758,1,0.0398,0.0163,0.00134,0.265,0.619,152.17,266933,4,1
0.683,0.503,6,-8.844,0,0.0533,0.317,0,0.0485,0.433,97.987,178307,4,1
0.629,0.459,9,-10.069,0,0.0288,0.281,0.000303,0.285,0.559,114.986,228557,4,1
0.536,0.755,1,-3.554,1,0.261,0.287,0,0.0634,0.737,84.118,190084,4,1
0.616,0.852,2,-1.914,1,0.0468,0.0621,0,0.0987,0.48,145.842,173536,4,1
